condition,time_d,total_length_cm
high,3.55,0.389
high,10.7,0.566
high,10.9,0.505
high,10.9,0.539
high,18,0.921
high,18.2,0.791
high,18.2,0.887
high,25.5,1.41
high,25.5,1.46
high,25.6,1.23
high,25.6,1.30
high,32.8,1.56
high,32.8,1.67
high,32.8,1.78
high,32.8,1.92
high,40.1,2.30
high,40.1,1.91
high,40.1,2.05
high,40.2,2.22
high,47.4,2.42
high,47.4,2.63
high,47.5,2.27
high,54.6,2.42
high,54.7,2.80
high,54.7,2.50
high,61.9,3.13
high,62.0,2.72
high,62.0,3.04
high,62.0,2.42
high,69.2,2.91
high,69.2,3.15
high,69.2,3.24
high,69.3,2.74
high,76.5,2.95
high,76.5,3.23
high,76.6,3.34
high,76.6,2.82
high,83.8,3.18
high,83.8,3.24
high,83.8,3.31
high,83.8,3.36
low,3.55,0.362
low,10.9,0.450
low,18.1,0.655
low,25.5,0.873
low,25.5,0.969
low,32.8,1.02
low,32.8,1.14
low,32.8,1.18
low,39.9,1.36
low,47.4,1.61
low,47.4,1.51
low,47.4,1.54
low,47.5,1.73
low,54.7,1.71
low,54.7,1.81
low,61.9,1.82
low,62.0,1.60
low,62.0,1.97
low,69.2,1.82
low,69.2,1.96
low,69.3,2.09
low,69.3,2.18
low,76.6,2.03
low,76.6,2.10
low,76.6,2.18
low,83.7,2.13
low,83.7,2.16
low,83.7,2.24
low,83.8,2.28
