stage,age_d,weight_g,oxygen_consumption_mg_o2_h
larvae,5,0.00013568,0.00042351
larvae,5,0.00014263,0.00035258
larvae,5,0.00014994,0.00043333
larvae,5,0.00020571,0.00044337
larvae,5,0.00021267,0.00031442
larvae,5,0.00021624,0.00041392
larvae,5,0.00022356,0.00028039
larvae,5,0.00024296,0.00043333
larvae,5,0.00025119,0.00020345
larvae,5,0.00031187,0.0005972
larvae,5,0.00032243,0.0003446
larvae,5,0.00032243,0.00039538
larvae,5,0.00034463,0.00044337
juvenile,60,0.060692,0.060408
juvenile,60,0.068192,0.050291
juvenile,60,0.070501,0.10232
juvenile,60,0.070501,0.075962
juvenile,60,0.07411,0.06324
juvenile,60,0.083269,0.050291
juvenile,60,0.083269,0.079524
juvenile,60,0.086087,0.064706
juvenile,60,0.086087,0.064706
juvenile,60,0.086087,0.097735
juvenile,60,0.089002,0.1096
juvenile,60,0.10339,0.083253
juvenile,60,0.10688,0.10469
juvenile,60,0.10868,0.11214
juvenile,60,0.11616,0.066206
juvenile,60,0.12211,0.083253
juvenile,60,0.13052,0.12012
juvenile,60,0.13493,0.089176
juvenile,60,0.15415,0.1096
juvenile,60,0.16753,0.087156
juvenile,60,0.17034,0.1229
juvenile,60,0.18823,0.12012
adult,180,0.18207,0.21793
adult,180,0.19787,0.18563
adult,180,0.2115,0.3073
adult,180,0.22232,0.21793
adult,180,0.22232,0.30034
adult,180,0.267,0.26176
adult,180,0.27148,0.15454
adult,180,0.29504,0.27404
adult,180,0.3315,0.20345
adult,180,0.35432,0.35258
adult,180,0.35432,0.41392
adult,180,0.36027,0.32916
adult,180,0.36632,0.38642
adult,180,0.38507,0.23884
adult,180,0.43992,0.27404
adult,180,0.4473,0.45365
adult,180,0.45481,0.3446
adult,180,0.46245,0.22814
adult,180,0.49428,0.42351
adult,180,0.53718,0.37767
adult,180,0.63447,0.37767
