time_d,total_length_mm
2.74878081,3.18144185
3.49815699,3.45339935
3.89010948,2.98130930
4.99499237,4.06487831
5.75012189,4.13414737
5.95281122,3.66163105
7.81666248,4.67934293
8.21053442,4.13968890
9.31349909,5.29082189
10.2885818,4.27950408
10.4586642,4.95556313
11.1888571,5.90315340
11.7950094,4.55316667
11.9401527,6.10754867
12.5175295,5.77101109
13.6435126,6.11138510
13.6684492,5.23306215
15.1710404,5.64185269
15.7138896,6.52145270
15.7311534,5.91338391
16.0751521,7.13037580
18.1436109,7.60800737
18.1685475,6.72968441
19.2945306,7.07005843
19.317549,6.25929945
20.2139879,8.01807497
21.1813978,7.27701132
22.1430555,6.73863611
22.4832178,8.09075420
24.1616411,8.97291360
24.1731503,8.56753323
24.2230235,6.81088907
26.4270322,9.18071727
28.325411,8.98229156
28.4993298,9.52322265
29.2717232,8.98442291
30.5524406,10.5413608
30.5639498,10.1359804
31.1317381,10.1372592
32.2442961,10.9505776
32.2941694,9.19393169
33.3875406,10.6828811
34.3204253,11.157955
34.3511165,10.0769436
35.4406513,11.7010192
37.3025844,12.7862933
42.3858141,13.7436896
42.5980969,12.9333551
44.4542754,14.2213211
48.4230288,14.4329613
48.7862071,14.9743204
52.5618646,15.3206622
54.5938751,17.0819953
